Compound Broad Identifier	Compound Broad Identifier Short	Compound Name	Compound Source	In Annotated Set	ChemBank Annotation	Entrez Annotation	GO Annotation	MeSH Annotation	Product Use Annotation	In Annotated and Active Set	Phenotype 1	Phenotype 2
BRD-K76810206-001-05-7	BRD-K76810206	Nicergoline	Prestwick Chemical Inc.	yes					UseClass:8102 (anti-coagulant);UseClass:8092 (vasodilator)			
BRD-K76812510-236-05-6	BRD-K76812510	Dipyrone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8075 (anti-pyretic)			
BRD-K76845197-001-01-3	BRD-K76845197	SULFANITRAN	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K76872913-001-02-8	BRD-K76872913	BENZANTHRONE	MicroSource Discovery Systems Inc.									
BRD-K76927775-001-05-0	BRD-K76927775	Nitrofurantoin	Prestwick Chemical Inc.									
BRD-K77202630-001-02-9	BRD-K77202630	4-HYDROXY-6-METHYLPYRAN-2-ONE	MicroSource Discovery Systems Inc.									
BRD-K77435797-001-02-4	BRD-K77435797	"1R,9S-HYDRASTINE"	MicroSource Discovery Systems Inc.	yes				MeSH:D001424 (Bacterial Infections);MeSH:D006973 (Hypertension);MeSH:D014592 (Uterine Hemorrhage)	UseClass:8104 (anti-bacterial);UseClass:8101 (anti-hemorrhagic);UseClass:8091 (anti-hypertensive);UseClass:8116 (sedative)			
BRD-K77474816-003-05-9	BRD-K77474816	Rauwolscine hydrochloride	Prestwick Chemical Inc.	yes		GeneID:3350 (activates HTR1A);GeneID:150 (inhibits ADRA2A);GeneID:151 (inhibits ADRA2B);GeneID:152 (inhibits ADRA2C);GeneID:29581 (inhibits Htr2b)	GO:0042310 (activates vasoconstriction);GO:0007192 (affects activation of adenylate cyclase activity by serotonin receptor signaling pathway);GO:0004938 (inhibits alpha2-adrenergic receptor activity)					
BRD-K77554836-001-03-3	BRD-K77554836	Triamcinolone	Prestwick Chemical Inc.									
BRD-K77578964-001-02-8	BRD-K77578964	LECANORIC ACID	MicroSource Discovery Systems Inc.									
BRD-K77641333-003-05-7	BRD-K77641333	Naphazoline hydrochloride	Prestwick Chemical Inc.	yes			GO:0004936 (activates alpha-adrenergic receptor activity)		UseClass:8084 (decongestant);UseClass:8094 (vasoconstrictor)			
BRD-K77685744-001-03-6	BRD-K77685744	Acacetin	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D013035 (Spasm)	UseClass:8071 (anti-inflammatory);UseClass:8089 (cardiovascular agent);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K77695569-001-05-2	BRD-K77695569	Tiabendazole	Prestwick Chemical Inc.	yes					UseClass:8105 (anti-fungal);UseClass:8109 (anti-helminthic);UseClass:8065 (anti-proliferative);UseClass:8108 (anti-protozoal)			
BRD-K77771411-001-04-4	BRD-K77771411	Moxonidine	Prestwick Chemical Inc.									
BRD-K77925998-001-01-3	BRD-K77925998	QUIPAZINE	Biomol International Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)			
BRD-K77925998-050-02-8	BRD-K77925998	QUIPAZINE MALEATE	MicroSource Discovery Systems Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)			
BRD-K77925998-332-03-8	BRD-K77925998	Quipazine dimaleate salt	Prestwick Chemical Inc.	yes		GeneID:3356 (activates HTR2A)		MeSH:D003863 (Depression);MeSH:D010300 (Parkinson Disease)	UseClass:8119 (anti-depressant)			
BRD-K77947974-001-04-9	BRD-K77947974	FLUSPIRILINE	Biomol International Inc.									
BRD-K77987382-001-06-6	BRD-K77987382	Mebendazole	Prestwick Chemical Inc.									
BRD-K78010432-001-05-8	BRD-K78010432	Furosemide	Prestwick Chemical Inc.	yes				MeSH:D001201 (Ascites);MeSH:D005355 (Fibrosis);MeSH:D006501 (Hepatic Encephalopathy);MeSH:D006929 (Hyperaldosteronism);MeSH:D006973 (Hypertension);MeSH:D007008 (Hypokalemia)	UseClass:8091 (anti-hypertensive);UseClass:8153 (diuretic)			
BRD-K78113049-001-05-5	BRD-K78113049	Enoxacin	Prestwick Chemical Inc.	yes	CBPROTID:1000514 (inhibits DNA topoisomerase II)			MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K78280988-001-02-2	BRD-K78280988	"ANANDAMIDE (20:3,n-6)"	Biomol International Inc.	yes			GO:0004949 (binds cannabinoid receptor activity)					
BRD-K78294846-001-03-3	BRD-K78294846	OSTHOL	MicroSource Discovery Systems Inc.									
BRD-K78329127-001-02-9	BRD-K78329127	IRIFLOPHENONE TRIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K78364995-236-03-5	BRD-K78364995	Cefotaxime sodium salt	Prestwick Chemical Inc.									
BRD-K78414110-001-02-8	BRD-K78414110	ANHYDROBRAZILIC ACID	MicroSource Discovery Systems Inc.									
BRD-K78599730-001-03-4	BRD-K78599730	manumycin A	Biomol International Inc.									
BRD-K78612426-001-02-6	BRD-K78612426	CITROPTEN	MicroSource Discovery Systems Inc.									
BRD-K78643075-001-03-3	BRD-K78643075	Bromperidol	Prestwick Chemical Inc.									
BRD-K78692225-001-03-9	BRD-K78692225	Leflunomide	Prestwick Chemical Inc.	yes		GeneID:5159 (inhibits PDGFRB)		MeSH:D009369 (Neoplasms)	UseClass:8066 (anti-neoplastic)			
BRD-K78815826-001-05-4	BRD-K78815826	Suxibuzone	Prestwick Chemical Inc.	yes				MeSH:D005334 (Fever);MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory);UseClass:8075 (anti-pyretic)			
BRD-K78838262-001-02-4	BRD-K78838262	AUSTRICINE	MicroSource Discovery Systems Inc.									
BRD-K78959463-001-02-5	BRD-K78959463	FPL-64176	Biomol International Inc.									
BRD-K79092138-001-05-2	BRD-K79092138	Nitrofural	Prestwick Chemical Inc.									
BRD-K79131256-001-04-7	BRD-K79131256	Albendazole	Prestwick Chemical Inc.									
BRD-K79425933-001-03-6	BRD-K79425933	Benperidol	Prestwick Chemical Inc.									
BRD-K79437791-001-02-4	BRD-K79437791	acetyl (N)-s-farnesyl-l-cysteine	Biomol International Inc.	yes			GO:0008168 (inhibits methyltransferase activity)					
BRD-K79711234-001-06-8	BRD-K79711234	Thiamphenicol	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K79759585-001-02-1	BRD-K79759585	SILDENAFIL	MicroSource Discovery Systems Inc.	yes		GeneID:5138 (inhibits PDE2A);GeneID:8654 (inhibits PDE5A)		MeSH:D007172 (Erectile Dysfunction)				
BRD-K79905821-001-01-6	BRD-K79905821	Gabazine	Biomol International Inc.									
BRD-K80315422-001-01-8	BRD-K80315422	"5-[(DIMETHYLAMINO)METHYL]-3-(1-METHYL-1H-INDOL-3-YL)-1,2,4-OXADIAZOLE"	Biomol International Inc.									
BRD-K80334323-001-03-5	BRD-K80334323	Norethynodrel	Prestwick Chemical Inc.									
BRD-K80348542-339-03-4	BRD-K80348542	Cephaeline dihydrochloride heptahydrate	Prestwick Chemical Inc.									
BRD-K80353138-001-02-2	BRD-K80353138	SILIBININ	MicroSource Discovery Systems Inc.									
BRD-K80353807-001-06-3	BRD-K80353807	Khellin	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8100 (cardiac stimulant);UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K80396088-001-03-9	BRD-K80396088	Gliquidone	Prestwick Chemical Inc.									
BRD-K80863915-001-02-9	BRD-K80863915	N-PHENYLANTHRANILIC	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity)					
BRD-K80946661-001-02-8	BRD-K80946661	TRIACETYLRESVERATROL	MicroSource Discovery Systems Inc.									
BRD-K81029756-001-02-8	BRD-K81029756	L-cis-DILTIAZEM	Biomol International Inc.									
BRD-K81130846-001-02-6	BRD-K81130846	SALICYLAMIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D001168 (Arthritis);MeSH:D010146 (Pain)	UseClass:8081 (analgesic)			
BRD-K81144366-003-03-1	BRD-K81144366	Moxisylyte hydrochoride	Prestwick Chemical Inc.									
BRD-K81272440-001-02-6	BRD-K81272440	DANTROLENE	Biomol International Inc.									
BRD-K81272440-236-05-1	BRD-K81272440	Dantrolene sodium salt	Prestwick Chemical Inc.									
BRD-K81298036-001-02-1	BRD-K81298036	CHRYSIN DIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K81326768-001-02-4	BRD-K81326768	ZOMEPIRAC SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K81326768-236-03-4	BRD-K81326768	Zomepirac sodium salt	Prestwick Chemical Inc.	yes				MeSH:D007249 (Inflammation);MeSH:D010146 (Pain)	UseClass:8081 (analgesic);UseClass:8071 (anti-inflammatory)			
BRD-K81447180-003-03-2	BRD-K81447180	Lincomycin hydrochloride	Prestwick Chemical Inc.									
BRD-K81709173-001-03-8	BRD-K81709173	Halcinonide	Prestwick Chemical Inc.									
BRD-K81750404-001-02-5	BRD-K81750404	PRENYLETIN	MicroSource Discovery Systems Inc.									
BRD-K81829253-001-02-9	BRD-K81829253	PICROPODOPHYLLOTOXIN	MicroSource Discovery Systems Inc.									
BRD-K81839095-001-04-6	BRD-K81839095	Estrone	Prestwick Chemical Inc.									
BRD-K81884069-001-02-8	BRD-K81884069	"1,3,5-TRIMETHOXYBENZENE"	MicroSource Discovery Systems Inc.									
BRD-K82036761-003-02-1	BRD-K82036761	SERTRALINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K82103381-003-03-7	BRD-K82103381	HYDRALAZINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8092 (vasodilator)			
BRD-K82142815-001-02-7	BRD-K82142815	BETAMIPRON	MicroSource Discovery Systems Inc.									
BRD-K82236108-001-02-3	BRD-K82236108	N-METHYL (-)EPHEDRINE	MicroSource Discovery Systems Inc.	yes				MeSH:D001249 (Asthma)	UseClass:8078 (anti-asthmatic);UseClass:8088 (bronchodilator)			
BRD-K82236179-001-05-0	BRD-K82236179	Dicumarol	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial);UseClass:8102 (anti-coagulant)			
BRD-K82255054-001-03-5	BRD-K82255054	PROPOFOL	Biomol International Inc.	yes		GeneID:1135 (inhibits CHRNA2);GeneID:1141 (inhibits CHRNB2)			UseClass:8082 (anesthetic)			
BRD-K82561139-001-05-0	BRD-K82561139	Ricinine	Prestwick Chemical Inc.									
BRD-K82562631-236-02-0	BRD-K82562631	TOLMETIN SODIUM	MicroSource Discovery Systems Inc.	yes				MeSH:D007249 (Inflammation)	UseClass:8071 (anti-inflammatory)			
BRD-K82577285-001-01-7	BRD-K82577285	DIPROPYLDOPAMINE	Biomol International Inc.									
BRD-K82795137-001-02-3	BRD-K82795137	LORATADINE	MicroSource Discovery Systems Inc.	yes		GeneID:3269 (inhibits HRH1)		MeSH:D012220 (Rhinitis)				
BRD-K82846253-001-03-0	BRD-K82846253	Repaglinide	Prestwick Chemical Inc.									
BRD-K82865713-001-02-6	BRD-K82865713	PROSTAGLANDIN B2	Biomol International Inc.									
BRD-K83028735-003-03-8	BRD-K83028735	Ajmalicine hydrochloride	Prestwick Chemical Inc.									
BRD-K83041223-065-02-1	BRD-K83041223	QUININE SULFATE	MicroSource Discovery Systems Inc.									
BRD-K83064458-001-05-7	BRD-K83064458	Etofylline	Prestwick Chemical Inc.	yes			GO:0004104 (inhibits cholinesterase activity);GO:0005267 (inhibits potassium channel activity)		UseClass:8155 (antidote)			
BRD-K83459933-001-02-1	BRD-K83459933	SINOMENINE	MicroSource Discovery Systems Inc.									
BRD-K83597974-003-05-7	BRD-K83597974	Pargyline hydrochloride	Prestwick Chemical Inc.	yes			GO:0008131 (inhibits primary amine oxidase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-K84175871-003-02-2	BRD-K84175871	PSEUDOEPHEDRINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8094 (vasoconstrictor)			
BRD-K84214706-001-03-2	BRD-K84214706	7-CHLOROKYNURENIC ACID	Biomol International Inc.									
BRD-K84268861-001-02-1	BRD-K84268861	ETHION	MicroSource Discovery Systems Inc.	yes					UseClass:8149 (insecticide)			
BRD-K84300594-001-02-6	BRD-K84300594	Trimethylcolchicinic acid	Prestwick Chemical Inc.									
BRD-K84390227-001-02-2	BRD-K84390227	2'-METHOXYFORMONETIN	MicroSource Discovery Systems Inc.									
BRD-K84421793-001-01-1	BRD-K84421793	R(+)-SKF-81297	Biomol International Inc.									
BRD-K84595254-001-03-0	BRD-K84595254	Strophanthidin	Prestwick Chemical Inc.									
BRD-K84663978-001-02-3	BRD-K84663978	Trequinsin	Biomol International Inc.									
BRD-K85068298-001-02-7	BRD-K85068298	4'-HYDROXYCHALCONE	MicroSource Discovery Systems Inc.									
BRD-K85090592-008-05-2	BRD-K85090592	Pilocarpine nitrate	Prestwick Chemical Inc.	yes		GeneID:1129 (activates CHRM2)	GO:0015464 (activates acetylcholine receptor activity);GO:0004981 (activates muscarinic acetylcholine receptor activity)		UseClass:8134 (miotic)			
BRD-K85104575-001-03-2	BRD-K85104575	3-Acetamidocoumarin	Prestwick Chemical Inc.									
BRD-K85119730-001-06-5	BRD-K85119730	TOLBUTAMIDE	Biomol International Inc.	yes			GO:0015272 (inhibits ATP-activated inward rectifier potassium channel activity)	MeSH:D044882 (Glucose Metabolism Disorders)				
BRD-K85242180-001-01-1	BRD-K85242180	PROPYL-beta-CARBOLINE-3-CARBOXYLATE	Biomol International Inc.									
BRD-K85383046-001-02-5	BRD-K85383046	IAA-94	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity)					
BRD-K85385671-001-02-2	BRD-K85385671	ONONETIN	MicroSource Discovery Systems Inc.									
BRD-K85880973-001-02-7	BRD-K85880973	IRIGENIN TRIMETHYL ETHER	MicroSource Discovery Systems Inc.									
BRD-K85883481-001-04-2	BRD-K85883481	Prednisone	Prestwick Chemical Inc.									
BRD-K86204871-001-02-2	BRD-K86204871	Terconazole	Prestwick Chemical Inc.									
BRD-K86434416-001-02-7	BRD-K86434416	Deprenyl	Biomol International Inc.	yes		GeneID:4129 (inhibits MAOB)						
BRD-K86434416-003-03-1	BRD-K86434416	Selegiline hydrochloride	Prestwick Chemical Inc.	yes		GeneID:4129 (inhibits MAOB)						
BRD-K86873305-236-03-0	BRD-K86873305	Piperacillin sodium salt	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K86882815-001-01-6	BRD-K86882815	Cabergoline	Biomol International Inc.									
BRD-K87024524-065-05-2	BRD-K87024524	Phenelzine sulfate	Prestwick Chemical Inc.	yes		GeneID:4128 (inhibits MAOA)	GO:0008131 (inhibits primary amine oxidase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8113 (cns agent)			
BRD-K87049188-001-03-6	BRD-K87049188	Fusaric acid	Prestwick Chemical Inc.									
BRD-K87156652-001-05-1	BRD-K87156652	Carbimazole	Prestwick Chemical Inc.									
BRD-K87349602-001-01-2	BRD-K87349602	BUTYL-beta-CARBOLINE-3-CARBOXYLATE	Biomol International Inc.									
BRD-K87492696-001-05-8	BRD-K87492696	Sulfameter	Prestwick Chemical Inc.	yes				MeSH:D001424 (Bacterial Infections)	UseClass:8104 (anti-bacterial)			
BRD-K87798455-001-02-6	BRD-K87798455	"DUARTIN, DIMETHYL ETHER"	MicroSource Discovery Systems Inc.									
BRD-K87817668-001-02-7	BRD-K87817668	METHOMYL	MicroSource Discovery Systems Inc.									
BRD-K87904882-001-02-3	BRD-K87904882	chelerythrine	Biomol International Inc.									
BRD-K87990216-001-03-7	BRD-K87990216	Piretanide	Prestwick Chemical Inc.	yes		GeneID:6557 (binds SLC12A1)						
BRD-K87991767-001-03-8	BRD-K87991767	UMBELLIFERONE	MicroSource Discovery Systems Inc.	yes		GeneID:595 (inhibits CCND1)						
BRD-K88090157-050-04-1	BRD-K88090157	Pimethixene maleate	Prestwick Chemical Inc.	yes		GeneID:3269 (inhibits HRH1)			UseClass:8072 (anti-histamine);UseClass:8088 (bronchodilator);UseClass:8116 (sedative)			
BRD-K88111944-001-01-2	BRD-K88111944	"2',4-DIHYDROXY-3,4',6'-TRIMETHOXYCHALCONE"	MicroSource Discovery Systems Inc.									
BRD-K88172511-310-03-8	BRD-K88172511	Naltrexone hydrochloride dihydrate	Prestwick Chemical Inc.									
BRD-K88219015-001-02-5	BRD-K88219015	ASARYLALDEHYDE	MicroSource Discovery Systems Inc.									
BRD-K88282786-001-02-0	BRD-K88282786	"WIN 55,212-2"	Biomol International Inc.									
BRD-K88366685-300-03-7	BRD-K88366685	Trimetazidine dihydrochloride	Prestwick Chemical Inc.									
BRD-K88405679-003-01-5	BRD-K88405679	THONZYLAMINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes					UseClass:8072 (anti-histamine)			
BRD-K88429204-001-05-4	BRD-K88429204	Pyrimethamine	Prestwick Chemical Inc.	yes		GeneID:1719 (inhibits DHFR)		MeSH:D008288 (Malaria);MeSH:D014123 (Toxoplasmosis)	UseClass:8110 (anti-malarial)			
BRD-K88568253-011-03-3	BRD-K88568253	Iproniazide phosphate	Prestwick Chemical Inc.	yes			GO:0016491 (inhibits oxidoreductase activity)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant)			
BRD-K88611939-001-02-6	BRD-K88611939	ANIRACETAM	Biomol International Inc.									
BRD-K88646909-004-06-3	BRD-K88646909	Arecoline hydrobromide	Prestwick Chemical Inc.	yes					UseClass:8089 (cardiovascular agent)			
BRD-K88743730-001-01-0	BRD-K88743730	TEGASEROD	MicroSource Discovery Systems Inc.	yes		GeneID:25324 (activates Htr4);GeneID:3360 (activates HTR4);GeneID:29581 (inhibits Htr2b);GeneID:3357 (inhibits HTR2B)	GO:0007192 (activates activation of adenylate cyclase activity by serotonin receptor signaling pathway)	MeSH:D003248 (Constipation);MeSH:D043183 (Irritable Bowel Syndrome)				
BRD-K88789588-001-03-2	BRD-K88789588	Letrozole	Prestwick Chemical Inc.	yes				MeSH:D001943 (Breast Neoplasms)	UseClass:8066 (anti-neoplastic);UseClass:8141 (hormonal agent)			
BRD-K88809146-003-02-1	BRD-K88809146	Tranylcypromine hydrochloride	Prestwick Chemical Inc.									
BRD-K88849294-001-02-1	BRD-K88849294	LOBARIC ACID	MicroSource Discovery Systems Inc.									
BRD-K88871508-001-01-9	BRD-K88871508	S(-)-LISURIDE	Biomol International Inc.									
BRD-K88998544-001-02-4	BRD-K88998544	ascomycin (FK-520)	Biomol International Inc.									
BRD-K89046952-001-03-4	BRD-K89046952	Cyclacillin	Prestwick Chemical Inc.									
BRD-K89055274-048-04-5	BRD-K89055274	Alverine citrate salt	Prestwick Chemical Inc.	yes				MeSH:D013035 (Spasm)	UseClass:8132 (muscle relaxant (spasmolytic))			
BRD-K89125793-001-05-4	BRD-K89125793	Tinidazole	Prestwick Chemical Inc.	yes				MeSH:D011528 (Protozoan Infections)	UseClass:8108 (anti-protozoal)			
BRD-K89210380-001-03-8	BRD-K89210380	Biotin	Prestwick Chemical Inc.									
BRD-K89237706-001-03-8	BRD-K89237706	Noscapine	Prestwick Chemical Inc.									
BRD-K89272762-001-04-4	BRD-K89272762	NPPB	Biomol International Inc.	yes			GO:0005254 (inhibits chloride channel activity);GO:0004666 (inhibits prostaglandin-endoperoxide synthase activity)					
BRD-K89366998-001-02-4	BRD-K89366998	RAPAMYCIN	Biomol International Inc.									
BRD-K89375097-300-05-4	BRD-K89375097	Pirenzepine dihydrochloride	Prestwick Chemical Inc.	yes		GeneID:1128 (inhibits CHRM1)		MeSH:D010437 (Peptic Ulcer)	UseClass:8125 (gastrointestinal agent)			
BRD-K89595132-050-02-2	BRD-K89595132	CHLORPHENIRAMINE (S) MALEATE	MicroSource Discovery Systems Inc.									
BRD-K89669299-001-02-7	BRD-K89669299	PERICIAZINE	MicroSource Discovery Systems Inc.	yes					UseClass:8118 (anti-psychotic (neuroleptic));UseClass:8117 (tranquilizer)			
BRD-K89704198-001-05-7	BRD-K89704198	Epivincamine	Prestwick Chemical Inc.	yes				MeSH:D006973 (Hypertension)	UseClass:8092 (vasodilator)			
BRD-K90027355-001-03-4	BRD-K90027355	Spironolactone	Prestwick Chemical Inc.									
BRD-K90168339-001-02-9	BRD-K90168339	"DIMETHYL 4,4-o-PHENYLENE-BIS (3-THIOPHANATE)"	MicroSource Discovery Systems Inc.	yes					UseClass:8105 (anti-fungal)			
BRD-K90214371-001-02-0	BRD-K90214371	17-PHENYL-TRINOR-PGE2	Biomol International Inc.	yes		GeneID:5731 (activates PTGER1)						
BRD-K90268819-001-03-4	BRD-K90268819	Cinchonine	Prestwick Chemical Inc.									
BRD-K90333595-001-02-8	BRD-K90333595	PHENTOLAMINE	Biomol International Inc.									
BRD-K90333595-003-04-0	BRD-K90333595	Phentolamine hydrochloride	Prestwick Chemical Inc.									
BRD-K90524085-001-05-2	BRD-K90524085	MY-5445	Biomol International Inc.	yes			"GO:0047555 (inhibits 3',5'-cyclic-GMP phosphodiesterase activity)"					
BRD-K90553655-001-03-6	BRD-K90553655	Testosterone propionate	Prestwick Chemical Inc.									
BRD-K90574291-001-02-4	BRD-K90574291	"7,2'-DIMETHOXYFLAVONE"	MicroSource Discovery Systems Inc.									
BRD-K90607708-001-02-9	BRD-K90607708	"EPIAFZELECHIN (2R,3R)(-)"	MicroSource Discovery Systems Inc.									
BRD-K90733503-002-03-6	BRD-K90733503	Cephalexin monohydrate	Prestwick Chemical Inc.									
BRD-K90976994-001-02-1	BRD-K90976994	Dehydrocholic acid	Prestwick Chemical Inc.									
BRD-K91263825-003-03-2	BRD-K91263825	Nortriptyline hydrochloride	Prestwick Chemical Inc.	yes			GO:0001504 (inhibits neurotransmitter uptake)	MeSH:D003863 (Depression)	UseClass:8119 (anti-depressant);UseClass:8072 (anti-histamine);UseClass:8113 (cns agent);UseClass:8116 (sedative);UseClass:8092 (vasodilator)			
BRD-K91301684-003-02-2	BRD-K91301684	NOSCAPINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.									
BRD-K91315211-300-02-4	BRD-K91315211	BETAHISTINE HYDROCHLORIDE	MicroSource Discovery Systems Inc.	yes				MeSH:D008575 (Meniere Disease)	UseClass:8092 (vasodilator)			
BRD-K91315211-334-02-3	BRD-K91315211	Betahistine mesylate	Prestwick Chemical Inc.	yes				MeSH:D008575 (Meniere Disease)	UseClass:8092 (vasodilator)			
BRD-K91317041-001-03-8	BRD-K91317041	HARMALINE	MicroSource Discovery Systems Inc.	yes				MeSH:D010300 (Parkinson Disease)	UseClass:8113 (cns agent)			
BRD-K91317041-310-03-3	BRD-K91317041	Harmaline hydrochloride dihydrate	Prestwick Chemical Inc.	yes				MeSH:D010300 (Parkinson Disease)	UseClass:8113 (cns agent)			
